creativecommons.org/licenses/by/2.5,CC_BY_2_5
creativecommons.org/licenses/by/3.0,CC_BY_3_0
creativecommons.org/licenses/by/4.0,CC_BY_4_0
creativecommons.org/licenses/by-nc,CC_BYNC
creativecommons.org/licenses/by-nc/3.0,CC_BYNC_3_0_DE
creativecommons.org/licenses/by-nc/4.0,CC_BYNC_4_0
creativecommons.org/licenses/by-nc-nd/3.0,CC_BYNCND_3_0
creativecommons.org/licenses/by-nc-nd/4.0,CC_BYNCND_4_0
creativecommons.org/licenses/by-nd,CC_BYND
creativecommons.org/licenses/by-nd/4.0,CC_BYND_4_0
creativecommons.org/licenses/by-sa/2.0,CC_BYSA_2_0
creativecommons.org/licenses/by-sa/3.0,CC_BYSA_3_0
creativecommons.org/licenses/by-sa/4.0,CC_BYSA_4_0
creativecommons.org/publicdomain/mark/1.0,CC_PDM_1_0
creativecommons.org/publicdomain/zero/1.0,CC0
data.gov.hr/open-licence-republic-croatia,HROD
data.gov.ro/base/images/logoinst/OGL-ROU-1.0.pdf,OGLROU_1_0
data.norge.no/nlod/en/1.0,NLOD
www.dati.gov.it/iodl/2.0,IODL_2_0
www.formez.it/iod,IODL_1_0
www.gnu.org/licenses/licenses.html,GNU_FDL
www.nationalarchives.gov.uk/doc/non-commercial-government-licence/non-commercial-government-licence.htm,OGL_NC
www.nationalarchives.gov.uk/doc/open-government-licence/version/1,OGL_1_0
www.nationalarchives.gov.uk/doc/open-government-licence/version/2,OGL_2_0
www.nationalarchives.gov.uk/doc/open-government-licence/version/3,OGL_3_0
www.opendefinition.org/licenses/cc-by,CC_BY
www.opendefinition.org/licenses/cc-by-sa,CC_BYSA
www.opendefinition.org/licenses/odc-odbl,ODC_BL
www.opendefinition.org/licenses/odc-pddl,ODC_PDDL
www.opendefinition.org/licenses/cc-zero,CC0
www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/inspire-licence.html,PSEUL
gnu.org/licenses/old-licenses/fdl-1.1,GNU_FDL_1_1
gnu.org/licenses/old-licenses/fdl-1.2,GNU_FDL_1_2
joinup.ec.europa.eu/collection/eupl/eupl-text-11-12,EUPL_1_2
opensource.org/licenses/0BSD,0BSD
opensource.org/licenses/AGPL-3.0,AGPL-3.0
opensource.org/licenses/Apache-1.1,Apache-1.1
opensource.org/licenses/Apache-2.0,Apache-2.0
opensource.org/licenses/APL-1.0,APL-1.0
opensource.org/licenses/APSL-2.0,APSL-2.0
opensource.org/licenses/Artistic-1.0,Artistic-1.0
opensource.org/licenses/Artistic-2.0,Artistic-2.0
opensource.org/licenses/BSD-2-Clause,BSD-2-Clause
opensource.org/licenses/BSD-3-Clause,BSD-3-Clause
opensource.org/licenses/BSD-3-Clause-LBNL,BSD-3-Clause-LBNL
opensource.org/licenses/BSDplusPatent,BSDplusPatent
opensource.org/licenses/BSL-1.0,BSL-1.0
opensource.org/licenses/CATOSL-1.1,CATOSL-1.1
opensource.org/licenses/CDDL-1.0,CDDL-1.0
opensource.org/licenses/CECILL-2.1,CECILL-2.1
opensource.org/licenses/CNRI-Python,CNRI-Python
opensource.org/licenses/CPAL-1.0,CPAL-1.0
opensource.org/licenses/CPL-1.0,CPL-1.0
opensource.org/licenses/ECL-1.0,ECL-1.0
opensource.org/licenses/ECL-2.0,ECL-2.0
opensource.org/licenses/eCos-2.0,eCos-2.0
opensource.org/licenses/EFL-1.0,EFL-1.0
opensource.org/licenses/EFL-2.0,EFL-2.0
opensource.org/licenses/Entessa,Entessa
opensource.org/licenses/EPL-1.0,EPL-1.0
opensource.org/licenses/EPL-2.0,EPL-2.0
opensource.org/licenses/EUDatagrid,EUDatagrid
opensource.org/licenses/Fair,Fair
opensource.org/licenses/Frameworx-1.0,Frameworx-1.0
opensource.org/licenses/GPL-2.0,GPL-2.0
opensource.org/licenses/GPL-3.0,GPL-3.0
opensource.org/licenses/HPND,HPND
opensource.org/licenses/IPA,IPA
opensource.org/licenses/IPL-1.0,IPL-1.0
opensource.org/licenses/ISC,ISC
opensource.org/licenses/LGPL-2.1,LGPL-2.1
opensource.org/licenses/LGPL-3.0,LGPL-3.0
opensource.org/licenses/LiLiQ-P-1.1,LiLiQ-P-1.1
opensource.org/licenses/LiLiQ-R-1.1,LiLiQ-R-1.1
opensource.org/licenses/LiLiQ-Rplus-1.1,LiLiQ-Rplus-1.1
opensource.org/licenses/LPL-1.0,LPL-1.0
opensource.org/licenses/LPL-1.02,LPL-1.02
opensource.org/licenses/LPL-1.02,LPL-1.02
opensource.org/licenses/LPPL-1.3c,LPPL-1.3c
opensource.org/licenses/MirOS,MirOS
opensource.org/licenses/MIT,MIT
opensource.org/licenses/Motosoto,Motosoto
opensource.org/licenses/MPL-1.0,MPL-1.0
opensource.org/licenses/MPL-1.1,MPL-1.1
opensource.org/licenses/MPL-2.0,MPL-2.0
opensource.org/licenses/MS-PL,MS-PL
opensource.org/licenses/MS-RL,MS-RL
opensource.org/licenses/Multics,Multics
opensource.org/licenses/NASA-1.3,NASA-1.3
opensource.org/licenses/Naumen,Naumen
opensource.org/licenses/NCSA,NCSA
opensource.org/licenses/NGPL,NGPL
opensource.org/licenses/NOKIA,NOKIA
opensource.org/licenses/NPOSL-3.0,NPOSL-3.0
opensource.org/licenses/NTP,NTP
opensource.org/licenses/OCLC-2.0,OCLC-2.0
opensource.org/licenses/OFL-1.1,OFL-1.1
opensource.org/licenses/OGTSL,OGTSL
opensource.org/licenses/OPL-2.1,OPL-2.1
opensource.org/licenses/OSL-1.0,OSL-1.0
opensource.org/licenses/OSL-2.1,OSL-2.1
opensource.org/licenses/OSL-3.0,OSL-3.0
opensource.org/licenses/PHP-3.0,PHP-3.0
opensource.org/licenses/PostgreSQL,PostgreSQL
opensource.org/licenses/Python-2.0,Python-2.0
opensource.org/licenses/QPL-1.0,QPL-1.0
opensource.org/licenses/RPL-1.1,RPL-1.1
opensource.org/licenses/RPL-1.5,RPL-1.5
opensource.org/licenses/RPSL-1.0,RPSL-1.0
opensource.org/licenses/RSCPL,RSCPL
opensource.org/licenses/SimPL-2.0,SimPL-2.0
opensource.org/licenses/Sleepycat,Sleepycat
opensource.org/licenses/SPL-1.0,SPL-1.0
opensource.org/licenses/UCL-1.0,UCL-1.0
opensource.org/licenses/UPL,UPL
opensource.org/licenses/VSL-1.0,VSL-1.0
opensource.org/licenses/W3C,W3C
opensource.org/licenses/Watcom-1.0,Watcom-1.0
opensource.org/licenses/WXwindows,WXwindows
opensource.org/licenses/Xnet,Xnet
opensource.org/licenses/Zlib,Zlib
opensource.org/licenses/ZPL-2.0,ZPL-2.0
www.govdata.de/dl-de/by-1-0,DLDE_BY_1_0
www.govdata.de/dl-de/by-2-0,DLDE_BY_2_0
www.govdata.de/dl-de/by-nc-1-0,DLDE_BYNC_1_0
www.govdata.de/dl-de/zero-2-0,DLDE_ZERO_2_0